phenotype,T19
DH6-10,75.33
DH6-101,105
DH6-102,96.33
DH6-104,81
DH6-105,101.67
DH6-108,89
DH6-11,82.67
DH6-111,133.33
DH6-112,105
DH6-114,NA
DH6-119,104.67
DH6-124,75.67
DH6-125,113.33
DH6-128,114.33
DH6-129,105.67
DH6-13,78.67
DH6-130,107.33
DH6-131,87.5
DH6-134,117
DH6-135,108.67
DH6-138,65.76
DH6-14,134
DH6-143,129.67
DH6-144,116.33
DH6-148,112
DH6-149,104.67
DH6-15,98.33
DH6-152,109.67
DH6-157,149.67
DH6-160,94.67
DH6-161,89
DH6-162,83.33
DH6-164,81
DH6-165,84
DH6-166,98.67
DH6-170,135
DH6-171,119.67
DH6-178,97.33
DH6-179,95.67
DH6-18,77
DH6-180,113.33
DH6-182,123
DH6-186,81.33
DH6-187,63.33
DH6-189,84
DH6-19,106
DH6-195,91.33
DH6-198,NA
DH6-199,83.67
DH6-2,117.33
DH6-20,89
DH6-200,104.33
DH6-202,82
DH6-204,130.33
DH6-205,97.67
DH6-206,106
DH6-207,111.33
DH6-209,143.33
DH6-21,136
DH6-212,121.67
DH6-214,107
DH6-215,NA
DH6-216,104.67
DH6-219,105
DH6-220,80.67
DH6-221,112.33
DH6-223,100.33
DH6-225,88.33
DH6-226,110.33
DH6-227,121.67
DH6-228,124.67
DH6-229,89.33
DH6-231,88.76
DH6-233,115.67
DH6-234,101.33
DH6-236,144.67
DH6-237,130
DH6-25,100.67
DH6-26,106.33
DH6-27,NA
DH6-28,102.33
DH6-30,NA
DH6-31,128.67
DH6-32,122.67
DH6-34,94.33
DH6-35,97.67
DH6-36,89
DH6-37,84.67
DH6-38,103.67
DH6-39,NA
DH6-4,86.33
DH6-41,93.67
DH6-42,95.33
DH6-43,103
DH6-44,120.67
DH6-45,116.67
DH6-46,NA
DH6-49,109.33
DH6-5,NA
DH6-50,78.67
DH6-52,127.33
DH6-53,115.67
DH6-54,93.33
DH6-55,79.67
DH6-56,NA
DH6-58,96
DH6-59,133
DH6-6,NA
DH6-60,104
DH6-62,93
DH6-63,134.33
DH6-66,127.33
DH6-69,94
DH6-7,67.26
DH6-71,69.67
DH6-72,98.33
DH6-73,91.67
DH6-75,114
DH6-77,103.67
DH6-8,117
DH6-82,107
DH6-83,99.67
DH6-84,102.67
DH6-85,104.33
DH6-86,NA
DH6-89,92
DH6-9,127.33
DH6-90,67.33
DH6-92,132.33
DH6-96,79.33
DH6-99,NA
DH7-1,103
DH7-10,103
DH7-100,135.67
DH7-101,101
DH7-102,116
DH7-103,118.33
DH7-104,116.33
DH7-106,113
DH7-107,93.74
DH7-108,106
DH7-109,123
DH7-11,112.33
DH7-110,141.67
DH7-111,105.33
DH7-112,74.67
DH7-113,92
DH7-115,120
DH7-117,NA
DH7-118,107
DH7-119,117.33
DH7-12,103
DH7-120,111.33
DH7-122,88.33
DH7-124,NA
DH7-125,92.33
DH7-126,106.67
DH7-127,80.33
DH7-129,NA
